,RSIOverbought,RSIOversold,TSIOverbought,TSIOversold,LowBollinger,HighBollinger,GoldenCross,ChandelierExit,0,1,2
0,False,False,False,False,False,False,False,False,0,0,1
1,False,False,False,True,False,False,False,False,0,0,1
2,False,False,False,True,False,False,False,False,0,0,1
3,False,False,False,True,False,False,False,False,0,0,1
4,False,False,False,True,False,False,False,False,0,0,1
5,False,False,False,True,False,False,False,False,0,0,1
6,False,False,False,True,False,False,False,False,0,0,1
7,False,False,False,True,False,False,False,False,0,0,1
8,False,False,False,True,False,False,False,False,0,0,1
9,False,False,False,True,False,False,False,False,0,0,1
10,False,False,False,True,False,False,False,False,0,0,1
11,False,False,False,True,False,False,False,False,0,0,1
12,False,False,False,True,False,False,False,False,0,0,1
13,False,True,False,True,False,False,False,True,0,0,1
14,False,False,False,True,False,False,False,True,0,0,1
15,False,False,False,True,False,False,False,False,0,0,1
16,False,False,False,True,False,False,False,False,0,0,1
17,False,False,False,True,False,False,False,False,0,0,1
18,False,False,False,True,False,False,False,False,0,0,1
19,False,False,False,True,False,False,False,False,0,0,1
20,False,False,False,True,False,False,False,False,0,0,1
21,False,False,False,True,False,False,False,False,0,0,1
22,False,False,False,True,False,True,False,False,0,0,1
23,False,False,False,True,False,True,False,False,0,0,1
24,False,False,False,True,False,False,False,False,0,0,1
25,False,False,False,True,False,True,False,False,0,0,1
26,False,False,False,True,False,False,False,False,0,0,1
27,False,False,False,True,False,False,False,False,0,0,1
28,False,False,False,True,False,False,False,False,0,0,1
29,False,False,False,True,False,False,False,False,0,0,1
30,False,False,False,True,False,False,False,False,0,0,1
31,False,False,False,True,False,False,False,False,0,0,1
32,False,False,False,True,False,False,False,False,0,0,1
33,False,False,False,True,False,False,False,True,0,0,1
34,False,False,False,True,False,False,False,True,0,0,1
35,False,False,False,True,False,False,False,False,0,0,1
36,False,False,False,True,False,False,False,True,0,0,1
37,False,False,False,False,False,False,False,False,0,0,1
38,False,False,False,False,False,False,False,True,0,0,1
39,False,False,False,False,False,False,False,True,0,0,1
40,False,True,False,False,False,False,False,True,0,0,1
41,False,False,False,False,False,False,False,True,0,0,1
42,False,False,False,False,False,False,False,True,0,0,1
43,False,False,False,False,False,False,False,False,0,0,1
44,False,False,False,False,False,False,False,False,0,0,1
45,False,False,False,False,False,False,False,False,0,0,1
46,False,False,False,False,False,False,False,False,0,0,1
47,False,False,False,False,False,False,False,False,0,0,1
48,False,False,False,False,False,False,False,False,0,0,1
49,False,False,False,False,False,False,False,False,0,0,1
50,False,False,False,False,False,False,False,False,0,0,1
51,False,False,False,False,False,False,False,False,0,0,1
52,False,False,False,False,False,False,False,False,0,0,1
53,False,False,False,False,False,False,False,False,0,0,1
54,False,False,False,False,False,True,False,False,0,0,1
55,False,False,False,False,False,False,False,False,0,0,1
56,False,False,False,False,False,False,False,False,0,0,1
57,False,False,False,False,False,True,False,False,0,0,1
58,False,False,False,False,False,False,False,False,0,0,1
59,False,False,False,False,False,False,False,False,0,0,1
60,False,False,False,False,False,False,False,False,0,0,1
61,False,False,False,False,False,False,False,False,0,0,1
62,False,False,False,False,False,False,False,False,0,0,1
63,False,False,False,False,False,False,False,False,0,0,1
64,False,False,False,False,False,False,False,False,0,0,1
65,False,False,False,False,False,False,False,False,0,0,1
66,False,False,False,False,False,False,False,False,0,0,1
67,False,False,False,False,False,False,False,False,0,0,1
68,False,False,False,False,False,False,False,False,0,0,1
69,False,False,False,False,False,False,False,False,0,0,1
70,False,False,False,False,True,False,False,True,0,0,1
71,False,True,False,False,True,False,False,True,0,0,1
72,False,True,False,False,True,False,False,True,0,0,1
73,False,True,False,True,True,False,False,True,0,0,1
74,False,False,False,False,False,False,False,False,0,0,1
75,False,False,False,False,False,False,False,False,0,0,1
76,False,False,False,False,False,False,False,False,0,0,1
77,False,False,False,False,False,False,False,False,0,0,1
78,False,False,False,False,False,False,False,False,0,0,1
79,False,False,False,False,False,False,False,False,0,0,1
80,False,False,False,False,False,False,False,False,0,0,1
81,False,False,False,False,False,False,False,False,0,0,1
82,False,False,False,False,False,False,False,False,0,0,1
83,False,False,False,False,False,False,False,False,0,0,1
84,False,False,False,False,False,False,False,False,0,0,1
85,False,False,False,False,False,False,False,False,0,0,1
86,False,False,False,False,False,False,False,False,0,0,1
87,False,False,False,False,False,False,False,False,0,0,1
88,False,False,False,False,False,False,False,False,0,0,1
89,False,False,False,False,False,False,False,False,0,0,1
90,False,False,False,False,False,False,False,False,0,0,1
91,False,False,False,False,False,False,False,False,0,0,1
92,False,False,False,False,False,False,False,False,0,0,1
93,False,False,False,False,False,False,False,False,0,0,1
94,False,False,False,False,False,True,False,False,0,0,1
95,False,False,False,False,False,False,False,False,0,0,1
96,False,False,False,False,False,False,False,False,0,0,1
97,False,False,False,False,False,False,False,False,0,0,1
98,False,False,False,False,True,False,False,True,0,0,1
99,False,False,False,False,False,False,False,False,0,0,1
100,False,False,False,False,True,False,False,True,0,0,1
101,False,False,False,False,False,False,False,True,0,0,1
102,False,False,False,False,False,False,False,False,0,0,1
103,False,False,False,False,False,False,False,False,0,0,1
104,False,False,False,False,False,False,False,False,0,0,1
105,False,False,False,False,False,False,False,False,0,0,1
106,False,False,False,False,False,False,False,False,0,0,1
107,False,False,False,False,False,False,False,False,0,0,1
108,False,False,False,False,False,False,False,False,0,0,1
109,False,False,False,False,False,False,False,False,0,0,1
110,False,False,False,False,False,False,False,False,0,0,1
111,False,False,False,False,False,False,False,False,0,0,1
112,False,False,False,False,False,False,False,False,0,0,1
113,False,False,False,False,False,False,False,False,0,0,1
114,False,False,False,False,False,False,False,False,0,0,1
115,False,False,False,False,False,False,False,True,0,0,1
116,False,False,False,False,False,False,False,True,0,0,1
117,False,False,False,False,False,False,False,True,0,0,1
118,False,False,False,False,False,False,False,True,0,0,1
119,False,True,False,False,False,False,False,True,0,0,1
120,False,True,False,False,True,False,False,True,0,0,1
121,False,True,False,False,True,False,False,True,0,0,1
122,False,True,False,True,False,False,False,True,0,0,1
123,False,True,False,True,False,False,False,True,0,0,1
124,False,True,False,True,False,False,False,True,0,0,1
125,False,True,False,True,False,False,False,True,0,0,1
126,False,True,False,True,False,False,False,True,0,0,1
127,False,True,False,True,False,False,False,True,0,0,1
128,False,True,False,True,False,False,False,True,0,0,1
129,False,True,False,True,False,False,False,True,0,0,1
130,False,True,False,True,False,False,False,True,0,0,1
131,False,True,False,True,False,False,False,True,0,0,1
132,False,True,False,True,False,False,False,True,0,0,1
133,False,False,False,True,False,False,False,False,0,0,1
134,True,False,False,False,False,False,False,False,0,0,1
135,False,False,False,False,False,False,False,False,0,0,1
136,False,False,False,False,False,False,False,False,0,0,1
137,False,False,False,False,False,False,False,False,0,0,1
138,False,False,False,False,False,False,False,False,0,0,1
139,False,False,False,False,False,False,False,False,0,0,1
140,False,False,False,False,False,False,False,False,0,0,1
141,False,False,False,False,False,False,False,False,0,0,1
142,False,False,False,False,False,False,False,False,0,0,1
143,False,False,False,False,True,False,False,True,0,0,1
144,False,False,False,False,True,False,False,True,0,0,1
145,False,False,False,False,False,False,False,True,0,0,1
146,False,False,False,False,False,False,False,True,0,0,1
147,False,False,False,False,False,False,False,True,0,0,1
148,False,True,False,True,False,False,False,True,0,0,1
149,False,True,False,False,False,False,False,True,0,0,1
150,False,True,False,False,False,False,False,False,0,0,1
151,False,True,False,False,False,False,False,True,0,0,1
152,False,True,False,False,False,False,False,True,0,0,1
153,False,True,False,False,False,False,False,True,0,0,1
154,False,False,False,False,False,False,False,False,0,0,1
155,False,False,False,False,False,False,False,False,0,0,1
156,False,False,False,False,False,False,False,False,0,0,1
157,True,False,False,False,False,False,False,False,0,0,1
158,True,False,False,False,False,False,False,False,0,0,1
159,True,False,False,False,False,False,False,False,0,0,1
160,True,False,False,False,False,False,False,False,0,0,1
161,False,False,False,False,False,False,False,False,0,0,1
162,False,False,False,False,False,False,False,False,0,0,1
163,False,False,False,False,False,False,False,False,0,0,1
164,False,False,False,False,False,False,False,False,0,0,1
165,False,False,False,False,False,False,False,False,0,0,1
166,True,False,False,False,False,False,False,False,0,0,1
167,True,False,False,False,False,False,False,False,0,0,1
168,True,False,False,False,False,False,False,False,0,0,1
169,False,False,False,False,False,False,False,False,0,0,1
170,True,False,False,False,False,True,False,False,0,0,1
171,True,False,False,False,False,False,False,False,0,0,1
172,False,False,False,False,False,False,False,False,0,0,1
173,False,False,False,False,False,False,False,False,0,0,1
174,False,False,False,False,False,False,False,False,0,0,1
175,False,False,False,False,False,False,False,False,0,0,1
176,False,False,False,False,False,False,False,False,0,0,1
177,False,False,False,False,False,False,False,False,0,0,1
178,False,False,False,False,False,False,False,False,0,0,1
179,False,False,False,False,False,False,False,False,0,0,1
180,False,False,False,False,False,False,False,False,0,0,1
181,False,False,False,False,False,False,False,True,0,0,1
182,False,False,False,False,False,False,False,True,0,0,1
183,False,False,False,False,False,False,False,False,0,0,1
184,False,False,False,False,False,False,False,True,0,0,1
185,False,False,False,False,False,False,False,False,0,0,1
186,False,False,False,False,False,False,False,False,0,0,1
187,False,False,False,False,False,False,False,False,0,0,1
188,False,False,False,False,False,False,False,False,0,0,1
189,False,False,False,False,True,False,False,True,0,0,1
190,False,False,False,False,True,False,False,True,0,0,1
191,False,False,False,False,False,False,False,False,0,0,1
192,False,True,False,False,True,False,False,True,0,0,1
193,False,True,False,False,True,False,False,True,0,0,1
194,False,True,False,False,True,False,False,True,0,0,1
195,False,False,False,False,False,False,False,True,0,0,1
196,False,True,False,True,True,False,False,True,0,0,1
197,False,True,False,True,True,False,False,True,0,0,1
198,False,True,False,True,False,False,False,True,0,0,1
199,False,True,False,True,False,False,False,True,0,0,1
200,False,True,False,True,False,False,False,True,0,0,1
201,False,True,False,True,False,False,False,True,0,0,1
202,False,False,False,True,False,False,False,False,0,0,1
203,False,False,False,True,False,False,False,False,0,0,1
204,False,False,False,False,False,False,False,False,0,0,1
205,False,False,False,False,False,False,False,False,0,0,1
206,False,False,False,False,False,False,False,False,0,0,1
207,False,False,False,False,False,False,False,False,0,0,1
208,False,False,False,False,False,False,False,False,0,0,1
209,False,False,False,False,False,False,False,False,0,0,1
210,False,False,False,False,False,False,False,False,0,0,1
211,False,False,False,False,False,False,False,False,0,0,1
212,False,False,False,False,False,False,False,False,0,0,1
213,True,False,False,False,False,False,False,False,0,0,1
214,True,False,False,False,False,False,False,False,0,0,1
215,True,False,False,False,False,False,False,False,0,0,1
216,False,False,False,False,False,False,False,False,0,0,1
217,False,False,False,False,False,False,False,False,0,0,1
218,False,False,False,False,False,False,False,False,0,0,1
219,False,False,False,False,False,False,False,True,0,0,1
220,False,False,False,False,False,False,False,True,0,0,1
221,False,False,False,False,False,False,False,True,0,0,1
222,False,False,False,False,False,False,False,True,0,0,1
223,False,False,False,False,False,False,False,True,0,0,1
224,False,True,False,False,False,False,False,True,0,0,1
225,False,True,False,False,False,False,False,True,0,0,1
226,False,True,False,False,False,False,False,True,0,0,1
227,False,False,False,False,False,False,False,True,0,0,1
228,False,False,False,False,False,False,False,True,0,0,1
229,False,True,False,False,False,False,False,True,0,0,1
230,False,False,False,False,False,False,False,False,0,0,1
231,False,False,False,False,False,False,False,False,0,0,1
232,False,False,False,False,False,False,False,False,0,0,1
233,False,False,False,False,False,False,False,False,0,0,1
234,False,False,False,False,False,False,False,False,0,0,1
235,False,False,False,False,False,False,False,False,0,0,1
236,False,False,False,False,True,False,False,False,0,0,1
237,False,False,False,False,False,False,False,False,0,0,1
238,False,False,False,False,False,False,False,False,0,0,1
239,False,False,False,False,False,False,False,False,0,0,1
240,False,False,False,False,False,False,False,False,0,0,1
241,False,False,False,False,False,False,False,False,0,0,1
242,False,False,False,False,False,False,False,False,0,0,1
243,False,False,False,False,True,False,False,False,0,0,1
244,False,False,False,False,True,False,False,False,0,0,1
245,False,False,False,False,True,False,False,True,0,0,1
246,False,True,False,True,True,False,False,True,0,0,1
247,False,True,False,True,False,False,False,True,0,0,1
248,False,False,False,True,False,False,False,True,0,0,1
249,False,False,False,True,False,False,False,True,0,0,1
250,False,False,False,True,False,False,False,True,0,0,1
251,False,True,False,True,False,False,False,True,0,0,1
252,False,True,False,True,False,False,False,True,0,0,1
253,False,True,False,True,False,False,False,True,0,0,1
254,False,True,False,True,False,False,False,True,0,0,1
255,False,False,False,True,False,False,False,True,0,0,1
256,False,False,False,True,False,False,False,False,0,0,1
257,False,False,False,True,False,False,False,False,0,0,1
258,False,False,False,False,False,False,False,False,0,0,1
259,False,False,False,False,False,False,False,False,0,0,1
260,False,False,False,False,False,False,False,False,0,0,1
261,False,False,False,False,False,False,False,False,0,0,1
262,False,False,False,False,False,False,False,False,0,0,1
263,False,False,False,False,False,True,False,False,0,0,1
264,False,False,False,False,False,True,False,False,0,0,1
265,False,False,False,False,False,False,False,False,0,0,1
266,False,False,False,False,False,False,False,False,0,0,1
267,False,False,False,False,False,True,False,False,0,0,1
268,False,False,False,False,False,False,False,False,0,0,1
269,False,False,False,False,False,False,False,False,0,0,1
270,False,False,False,False,False,False,False,False,0,0,1
271,False,False,False,False,False,False,False,False,0,0,1
272,False,False,False,False,False,False,False,False,0,0,1
273,False,False,False,False,False,False,False,True,0,0,1
274,False,False,False,False,False,False,False,True,0,0,1
275,False,False,False,False,False,False,False,True,0,0,1
276,False,False,False,False,False,False,False,True,0,0,1
277,False,False,False,False,False,False,False,True,0,0,1
278,False,False,False,False,False,False,False,True,0,0,1
279,False,False,False,False,False,False,False,True,0,0,1
280,False,False,False,False,False,False,False,True,0,0,1
281,False,True,False,False,False,False,False,True,0,0,1
282,False,False,False,False,False,False,False,True,0,0,1
283,False,False,False,False,False,False,False,True,0,0,1
284,False,True,False,False,False,False,False,True,0,0,1
285,False,True,False,False,False,False,False,True,0,0,1
286,False,True,False,False,False,False,False,True,0,0,1
287,False,False,False,False,False,False,False,True,0,0,1
288,False,False,False,False,False,False,False,True,0,0,1
289,False,False,False,False,False,False,False,True,0,0,1
290,False,True,False,False,False,False,False,True,0,0,1
291,False,True,False,True,False,False,False,True,0,0,1
292,False,True,False,True,False,False,False,True,0,0,1
293,False,True,False,True,False,False,False,True,0,0,1
294,False,False,False,True,False,False,False,False,0,0,1
295,False,False,False,True,False,False,False,False,0,0,1
296,False,False,False,False,False,False,False,False,0,0,1
297,False,False,False,False,False,False,False,False,0,0,1
298,False,False,False,False,False,False,False,False,0,0,1
299,False,False,False,False,False,False,False,False,0,0,1
300,False,False,False,False,False,False,False,False,0,0,1
301,False,False,False,False,False,False,False,False,0,0,1
302,False,False,False,False,False,False,False,False,0,0,1
303,False,False,False,False,False,False,False,False,0,0,1
304,False,False,False,False,False,False,False,False,0,0,1
305,False,False,False,False,False,False,False,False,0,0,1
306,False,False,False,False,False,False,False,True,0,0,1
307,False,False,False,False,False,False,False,True,0,0,1
308,False,False,False,False,False,False,False,True,0,0,1
309,False,False,False,False,False,False,False,False,0,0,1
310,False,False,False,False,False,False,False,False,0,0,1
311,False,False,False,False,False,False,False,False,0,0,1
312,False,False,False,False,False,False,False,False,0,0,1
313,False,False,False,False,False,False,False,False,0,0,1
314,False,False,False,False,True,False,False,False,0,0,1
315,False,False,False,False,True,False,False,True,0,0,1
316,False,False,False,False,True,False,False,True,0,0,1
317,False,False,False,False,False,False,False,False,0,0,1
318,False,False,False,False,False,False,False,True,0,0,1
319,False,False,False,False,False,False,False,False,0,0,1
320,False,False,False,False,False,False,False,False,0,0,1
321,False,False,False,False,False,True,False,False,0,0,1
322,False,False,False,False,False,True,False,False,0,0,1
323,False,False,False,False,False,False,False,False,0,0,1
324,False,False,False,False,False,False,False,False,0,0,1
325,True,False,False,False,False,True,False,False,0,0,1
326,True,False,False,False,False,False,False,False,0,0,1
327,True,False,False,False,False,False,False,False,0,0,1
328,True,False,False,False,False,False,False,False,0,0,1
329,True,False,False,False,False,False,False,False,0,0,1
330,True,False,False,False,False,False,False,False,0,0,1
331,True,False,False,False,False,False,False,False,0,0,1
332,True,False,False,False,False,False,False,False,0,0,1
333,True,False,False,False,False,False,False,False,0,0,1
334,True,False,True,False,False,False,False,False,0,0,1
335,True,False,True,False,False,False,False,False,0,0,1
336,False,False,True,False,False,False,False,False,0,0,1
337,True,False,True,False,False,False,False,False,0,0,1
338,False,False,True,False,False,False,False,False,0,0,1
339,False,False,True,False,False,False,False,False,0,0,1
340,False,False,False,False,False,False,False,False,0,0,1
341,False,False,False,False,False,False,False,False,0,0,1
342,False,False,False,False,False,False,False,False,0,0,1
343,False,False,False,False,True,False,False,True,0,0,1
344,False,False,False,False,False,False,False,True,0,0,1
345,False,False,False,False,False,False,False,True,0,0,1
346,False,False,False,False,False,False,False,False,0,0,1
347,False,False,False,False,False,False,False,False,0,0,1
348,False,False,False,False,False,False,False,False,0,0,1
349,False,False,False,False,False,False,False,False,0,0,1
350,False,False,False,False,False,False,False,False,0,0,1
351,False,False,False,False,False,False,False,False,0,0,1
352,False,False,False,False,False,False,False,False,0,0,1
353,False,False,False,False,False,False,False,False,0,0,1
354,False,False,False,False,False,False,False,False,0,0,1
355,False,False,False,False,False,False,False,False,0,0,1
356,False,False,False,False,False,False,False,False,0,0,1
357,True,False,False,False,False,False,False,False,0,0,1
358,False,False,False,False,False,False,False,False,0,0,1
359,False,False,False,False,False,False,False,False,0,0,1
360,False,False,False,False,False,False,False,False,0,0,1
361,False,False,False,False,False,False,False,False,0,0,1
362,False,False,False,False,False,False,False,False,0,0,1
363,False,False,False,False,False,False,False,False,0,0,1
364,False,False,False,False,False,False,False,True,0,0,1
365,False,True,False,False,True,False,False,True,0,0,1
366,False,True,False,False,True,False,False,True,0,0,1
367,False,True,False,False,True,False,False,True,0,0,1
368,False,True,False,False,True,False,False,True,0,0,1
369,False,True,False,False,False,False,False,True,0,0,1
370,False,True,False,False,False,False,False,True,0,0,1
371,False,True,False,False,False,False,False,True,0,0,1
372,False,True,False,False,False,False,False,True,0,0,1
373,False,False,False,False,False,False,False,True,0,0,1
374,False,False,False,False,False,False,False,False,0,0,1
375,False,False,False,False,False,False,False,False,0,0,1
376,False,False,False,False,False,False,False,False,0,0,1
377,False,False,False,False,False,False,False,False,0,0,1
378,False,False,False,False,False,False,False,False,0,0,1
379,False,False,False,False,False,False,False,False,0,0,1
