,RSIOverbought,RSIOversold,TSIOverbought,TSIOversold,LowBollinger,HighBollinger,GoldenCross,ChandelierExit
0,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False
2,False,False,False,True,False,False,False,False
3,False,False,False,True,False,False,False,False
4,False,False,False,True,False,False,False,False
5,False,False,False,True,False,False,False,False
6,False,False,False,True,False,False,False,False
7,False,False,False,True,False,False,False,False
8,False,False,False,True,False,False,False,False
9,False,False,False,True,False,False,False,False
10,False,False,False,True,False,False,False,False
11,False,False,False,True,False,False,False,False
12,False,False,False,True,False,False,False,False
13,False,True,False,True,False,False,False,True
14,False,False,False,True,False,False,False,True
15,False,False,False,True,False,False,False,False
16,False,False,False,True,False,False,False,False
17,False,False,False,True,False,False,False,False
18,False,False,False,True,False,False,False,False
19,False,False,False,True,False,False,False,False
20,False,False,False,True,False,False,False,False
21,False,False,False,True,False,False,False,False
22,False,False,False,True,False,True,False,False
23,False,False,False,True,False,True,False,False
24,False,False,False,True,False,False,False,False
25,False,False,False,True,False,True,False,False
26,False,False,False,True,False,False,False,False
27,False,False,False,True,False,False,False,False
28,False,False,False,True,False,False,False,False
29,False,False,False,True,False,False,False,False
30,False,False,False,True,False,False,False,False
31,False,False,False,True,False,False,False,False
32,False,False,False,True,False,False,False,False
33,False,False,False,True,False,False,False,True
34,False,False,False,True,False,False,False,True
35,False,False,False,True,False,False,False,False
36,False,False,False,True,False,False,False,True
37,False,False,False,False,False,False,False,False
38,False,False,False,False,False,False,False,True
39,False,False,False,False,False,False,False,True
40,False,True,False,False,False,False,False,True
41,False,False,False,False,False,False,False,True
42,False,False,False,False,False,False,False,True
43,False,False,False,False,False,False,False,False
44,False,False,False,False,False,False,False,False
45,False,False,False,False,False,False,False,False
46,False,False,False,False,False,False,False,False
47,False,False,False,False,False,False,False,False
48,False,False,False,False,False,False,False,False
49,False,False,False,False,False,False,False,False
50,False,False,False,False,False,False,False,False
51,False,False,False,False,False,False,False,False
52,False,False,False,False,False,False,False,False
53,False,False,False,False,False,False,False,False
54,False,False,False,False,False,True,False,False
55,False,False,False,False,False,False,False,False
56,False,False,False,False,False,False,False,False
57,False,False,False,False,False,True,False,False
58,False,False,False,False,False,False,False,False
59,False,False,False,False,False,False,False,False
60,False,False,False,False,False,False,False,False
61,False,False,False,False,False,False,False,False
62,False,False,False,False,False,False,False,False
63,False,False,False,False,False,False,False,False
64,False,False,False,False,False,False,False,False
65,False,False,False,False,False,False,False,False
66,False,False,False,False,False,False,False,False
67,False,False,False,False,False,False,False,False
68,False,False,False,False,False,False,False,False
69,False,False,False,False,False,False,False,False
70,False,False,False,False,True,False,False,True
71,False,True,False,False,True,False,False,True
72,False,True,False,False,True,False,False,True
73,False,True,False,True,True,False,False,True
74,False,False,False,False,False,False,False,False
75,False,False,False,False,False,False,False,False
76,False,False,False,False,False,False,False,False
77,False,False,False,False,False,False,False,False
78,False,False,False,False,False,False,False,False
79,False,False,False,False,False,False,False,False
80,False,False,False,False,False,False,False,False
81,False,False,False,False,False,False,False,False
82,False,False,False,False,False,False,False,False
83,False,False,False,False,False,False,False,False
84,False,False,False,False,False,False,False,False
85,False,False,False,False,False,False,False,False
86,False,False,False,False,False,False,False,False
87,False,False,False,False,False,False,False,False
88,False,False,False,False,False,False,False,False
89,False,False,False,False,False,False,False,False
90,False,False,False,False,False,False,False,False
91,False,False,False,False,False,False,False,False
92,False,False,False,False,False,False,False,False
93,False,False,False,False,False,False,False,False
94,False,False,False,False,False,True,False,False
95,False,False,False,False,False,False,False,False
96,False,False,False,False,False,False,False,False
97,False,False,False,False,False,False,False,False
98,False,False,False,False,True,False,False,True
99,False,False,False,False,False,False,False,False
100,False,False,False,False,True,False,False,True
101,False,False,False,False,False,False,False,True
102,False,False,False,False,False,False,False,False
103,False,False,False,False,False,False,False,False
104,False,False,False,False,False,False,False,False
105,False,False,False,False,False,False,False,False
106,False,False,False,False,False,False,False,False
107,False,False,False,False,False,False,False,False
108,False,False,False,False,False,False,False,False
109,False,False,False,False,False,False,False,False
110,False,False,False,False,False,False,False,False
111,False,False,False,False,False,False,False,False
112,False,False,False,False,False,False,False,False
113,False,False,False,False,False,False,False,False
114,False,False,False,False,False,False,False,False
115,False,False,False,False,False,False,False,True
116,False,False,False,False,False,False,False,True
117,False,False,False,False,False,False,False,True
118,False,False,False,False,False,False,False,True
119,False,True,False,False,False,False,False,True
120,False,True,False,False,True,False,False,True
121,False,True,False,False,True,False,False,True
122,False,True,False,True,False,False,False,True
123,False,True,False,True,False,False,False,True
124,False,True,False,True,False,False,False,True
125,False,True,False,True,False,False,False,True
126,False,True,False,True,False,False,False,True
127,False,True,False,True,False,False,False,True
128,False,True,False,True,False,False,False,True
129,False,True,False,True,False,False,False,True
130,False,True,False,True,False,False,False,True
131,False,True,False,True,False,False,False,True
132,False,True,False,True,False,False,False,True
133,False,False,False,True,False,False,False,False
134,True,False,False,False,False,False,False,False
135,False,False,False,False,False,False,False,False
136,False,False,False,False,False,False,False,False
137,False,False,False,False,False,False,False,False
138,False,False,False,False,False,False,False,False
139,False,False,False,False,False,False,False,False
140,False,False,False,False,False,False,False,False
141,False,False,False,False,False,False,False,False
142,False,False,False,False,False,False,False,False
143,False,False,False,False,True,False,False,True
144,False,False,False,False,True,False,False,True
145,False,False,False,False,False,False,False,True
146,False,False,False,False,False,False,False,True
147,False,False,False,False,False,False,False,True
148,False,True,False,True,False,False,False,True
149,False,True,False,False,False,False,False,True
150,False,True,False,False,False,False,False,False
151,False,True,False,False,False,False,False,True
152,False,True,False,False,False,False,False,True
153,False,True,False,False,False,False,False,True
154,False,False,False,False,False,False,False,False
155,False,False,False,False,False,False,False,False
156,False,False,False,False,False,False,False,False
157,True,False,False,False,False,False,False,False
158,True,False,False,False,False,False,False,False
159,True,False,False,False,False,False,False,False
160,True,False,False,False,False,False,False,False
161,False,False,False,False,False,False,False,False
162,False,False,False,False,False,False,False,False
163,False,False,False,False,False,False,False,False
164,False,False,False,False,False,False,False,False
165,False,False,False,False,False,False,False,False
166,True,False,False,False,False,False,False,False
167,True,False,False,False,False,False,False,False
168,True,False,False,False,False,False,False,False
169,False,False,False,False,False,False,False,False
170,True,False,False,False,False,True,False,False
171,True,False,False,False,False,False,False,False
172,False,False,False,False,False,False,False,False
173,False,False,False,False,False,False,False,False
174,False,False,False,False,False,False,False,False
175,False,False,False,False,False,False,False,False
176,False,False,False,False,False,False,False,False
177,False,False,False,False,False,False,False,False
178,False,False,False,False,False,False,False,False
179,False,False,False,False,False,False,False,False
180,False,False,False,False,False,False,False,False
181,False,False,False,False,False,False,False,True
182,False,False,False,False,False,False,False,True
183,False,False,False,False,False,False,False,False
184,False,False,False,False,False,False,False,True
185,False,False,False,False,False,False,False,False
186,False,False,False,False,False,False,False,False
187,False,False,False,False,False,False,False,False
188,False,False,False,False,False,False,False,False
189,False,False,False,False,True,False,False,True
190,False,False,False,False,True,False,False,True
191,False,False,False,False,False,False,False,False
192,False,True,False,False,True,False,False,True
193,False,True,False,False,True,False,False,True
194,False,True,False,False,True,False,False,True
195,False,False,False,False,False,False,False,True
196,False,True,False,True,True,False,False,True
197,False,True,False,True,True,False,False,True
198,False,True,False,True,False,False,False,True
199,False,True,False,True,False,False,False,True
200,False,True,False,True,False,False,False,True
201,False,True,False,True,False,False,False,True
202,False,False,False,True,False,False,False,False
203,False,False,False,True,False,False,False,False
204,False,False,False,False,False,False,False,False
205,False,False,False,False,False,False,False,False
206,False,False,False,False,False,False,False,False
207,False,False,False,False,False,False,False,False
208,False,False,False,False,False,False,False,False
209,False,False,False,False,False,False,False,False
210,False,False,False,False,False,False,False,False
211,False,False,False,False,False,False,False,False
212,False,False,False,False,False,False,False,False
213,True,False,False,False,False,False,False,False
214,True,False,False,False,False,False,False,False
215,True,False,False,False,False,False,False,False
216,False,False,False,False,False,False,False,False
217,False,False,False,False,False,False,False,False
218,False,False,False,False,False,False,False,False
219,False,False,False,False,False,False,False,True
220,False,False,False,False,False,False,False,True
221,False,False,False,False,False,False,False,True
222,False,False,False,False,False,False,False,True
223,False,False,False,False,False,False,False,True
224,False,True,False,False,False,False,False,True
225,False,True,False,False,False,False,False,True
226,False,True,False,False,False,False,False,True
227,False,False,False,False,False,False,False,True
228,False,False,False,False,False,False,False,True
229,False,True,False,False,False,False,False,True
230,False,False,False,False,False,False,False,False
231,False,False,False,False,False,False,False,False
232,False,False,False,False,False,False,False,False
233,False,False,False,False,False,False,False,False
234,False,False,False,False,False,False,False,False
235,False,False,False,False,False,False,False,False
236,False,False,False,False,True,False,False,False
237,False,False,False,False,False,False,False,False
238,False,False,False,False,False,False,False,False
239,False,False,False,False,False,False,False,False
240,False,False,False,False,False,False,False,False
241,False,False,False,False,False,False,False,False
242,False,False,False,False,False,False,False,False
243,False,False,False,False,True,False,False,False
244,False,False,False,False,True,False,False,False
245,False,False,False,False,True,False,False,True
246,False,True,False,True,True,False,False,True
247,False,True,False,True,False,False,False,True
248,False,False,False,True,False,False,False,True
249,False,False,False,True,False,False,False,True
250,False,False,False,True,False,False,False,True
251,False,True,False,True,False,False,False,True
252,False,True,False,True,False,False,False,True
253,False,True,False,True,False,False,False,True
254,False,True,False,True,False,False,False,True
255,False,False,False,True,False,False,False,True
256,False,False,False,True,False,False,False,False
257,False,False,False,True,False,False,False,False
258,False,False,False,False,False,False,False,False
259,False,False,False,False,False,False,False,False
260,False,False,False,False,False,False,False,False
261,False,False,False,False,False,False,False,False
262,False,False,False,False,False,False,False,False
263,False,False,False,False,False,True,False,False
264,False,False,False,False,False,True,False,False
265,False,False,False,False,False,False,False,False
266,False,False,False,False,False,False,False,False
267,False,False,False,False,False,True,False,False
268,False,False,False,False,False,False,False,False
269,False,False,False,False,False,False,False,False
270,False,False,False,False,False,False,False,False
271,False,False,False,False,False,False,False,False
272,False,False,False,False,False,False,False,False
273,False,False,False,False,False,False,False,True
274,False,False,False,False,False,False,False,True
275,False,False,False,False,False,False,False,True
276,False,False,False,False,False,False,False,True
277,False,False,False,False,False,False,False,True
278,False,False,False,False,False,False,False,True
279,False,False,False,False,False,False,False,True
280,False,False,False,False,False,False,False,True
281,False,True,False,False,False,False,False,True
282,False,False,False,False,False,False,False,True
283,False,False,False,False,False,False,False,True
284,False,True,False,False,False,False,False,True
285,False,True,False,False,False,False,False,True
286,False,True,False,False,False,False,False,True
287,False,False,False,False,False,False,False,True
288,False,False,False,False,False,False,False,True
289,False,False,False,False,False,False,False,True
290,False,True,False,False,False,False,False,True
291,False,True,False,True,False,False,False,True
292,False,True,False,True,False,False,False,True
293,False,True,False,True,False,False,False,True
294,False,False,False,True,False,False,False,False
295,False,False,False,True,False,False,False,False
296,False,False,False,False,False,False,False,False
297,False,False,False,False,False,False,False,False
298,False,False,False,False,False,False,False,False
299,False,False,False,False,False,False,False,False
300,False,False,False,False,False,False,False,False
301,False,False,False,False,False,False,False,False
302,False,False,False,False,False,False,False,False
303,False,False,False,False,False,False,False,False
304,False,False,False,False,False,False,False,False
305,False,False,False,False,False,False,False,False
306,False,False,False,False,False,False,False,True
307,False,False,False,False,False,False,False,True
308,False,False,False,False,False,False,False,True
309,False,False,False,False,False,False,False,False
310,False,False,False,False,False,False,False,False
311,False,False,False,False,False,False,False,False
312,False,False,False,False,False,False,False,False
313,False,False,False,False,False,False,False,False
314,False,False,False,False,True,False,False,False
315,False,False,False,False,True,False,False,True
316,False,False,False,False,True,False,False,True
317,False,False,False,False,False,False,False,False
318,False,False,False,False,False,False,False,True
319,False,False,False,False,False,False,False,False
320,False,False,False,False,False,False,False,False
321,False,False,False,False,False,True,False,False
322,False,False,False,False,False,True,False,False
323,False,False,False,False,False,False,False,False
324,False,False,False,False,False,False,False,False
325,True,False,False,False,False,True,False,False
326,True,False,False,False,False,False,False,False
327,True,False,False,False,False,False,False,False
328,True,False,False,False,False,False,False,False
329,True,False,False,False,False,False,False,False
330,True,False,False,False,False,False,False,False
331,True,False,False,False,False,False,False,False
332,True,False,False,False,False,False,False,False
333,True,False,False,False,False,False,False,False
334,True,False,True,False,False,False,False,False
335,True,False,True,False,False,False,False,False
336,False,False,True,False,False,False,False,False
337,True,False,True,False,False,False,False,False
338,False,False,True,False,False,False,False,False
339,False,False,True,False,False,False,False,False
340,False,False,False,False,False,False,False,False
341,False,False,False,False,False,False,False,False
342,False,False,False,False,False,False,False,False
343,False,False,False,False,True,False,False,True
344,False,False,False,False,False,False,False,True
345,False,False,False,False,False,False,False,True
346,False,False,False,False,False,False,False,False
347,False,False,False,False,False,False,False,False
348,False,False,False,False,False,False,False,False
349,False,False,False,False,False,False,False,False
350,False,False,False,False,False,False,False,False
351,False,False,False,False,False,False,False,False
352,False,False,False,False,False,False,False,False
353,False,False,False,False,False,False,False,False
354,False,False,False,False,False,False,False,False
355,False,False,False,False,False,False,False,False
356,False,False,False,False,False,False,False,False
357,True,False,False,False,False,False,False,False
358,False,False,False,False,False,False,False,False
359,False,False,False,False,False,False,False,False
360,False,False,False,False,False,False,False,False
361,False,False,False,False,False,False,False,False
362,False,False,False,False,False,False,False,False
363,False,False,False,False,False,False,False,False
364,False,False,False,False,False,False,False,True
365,False,True,False,False,True,False,False,True
366,False,True,False,False,True,False,False,True
367,False,True,False,False,True,False,False,True
368,False,True,False,False,True,False,False,True
369,False,True,False,False,False,False,False,True
370,False,True,False,False,False,False,False,True
371,False,True,False,False,False,False,False,True
372,False,True,False,False,False,False,False,True
373,False,False,False,False,False,False,False,True
374,False,False,False,False,False,False,False,False
375,False,False,False,False,False,False,False,False
376,False,False,False,False,False,False,False,False
377,False,False,False,False,False,False,False,False
378,False,False,False,False,False,False,False,False
379,False,False,False,False,False,False,False,False
380,False,False,False,False,False,False,False,False
381,True,False,False,False,False,False,False,False
382,True,False,False,False,False,False,False,False
383,True,False,False,False,False,False,False,False
384,True,False,False,False,False,False,False,False
385,True,False,False,False,False,False,False,False
386,True,False,False,False,False,False,False,False
387,True,False,False,False,False,False,False,False
388,False,False,False,False,False,False,False,False
389,False,False,False,False,False,False,False,False
390,False,False,False,False,False,False,False,False
391,False,False,False,False,False,False,False,False
392,False,False,False,False,True,False,False,True
393,False,False,False,False,True,False,False,True
394,False,False,False,False,False,False,False,True
395,False,False,False,False,False,False,False,True
396,False,False,False,False,False,False,False,True
397,False,False,False,False,False,False,False,True
398,False,True,False,False,False,False,False,True
399,False,True,False,False,False,False,False,True
400,False,True,False,False,False,False,False,True
401,False,True,False,False,False,False,False,True
402,False,True,False,False,False,False,False,True
403,False,True,False,False,False,False,False,True
404,False,True,False,False,False,False,False,True
405,False,True,False,True,False,False,False,True
406,False,True,False,True,False,False,False,True
407,False,False,False,True,False,False,False,True
408,False,True,False,True,False,False,False,True
409,False,True,False,True,False,False,False,True
410,False,True,False,True,False,False,False,True
411,False,True,False,True,False,False,False,True
412,False,True,False,True,False,False,False,True
413,False,True,False,True,False,False,False,True
414,False,True,False,True,False,False,False,True
415,False,False,False,True,False,False,False,False
416,False,False,False,True,False,False,False,False
417,False,False,False,True,False,False,False,False
418,False,False,False,True,False,False,False,False
419,False,False,False,True,False,False,False,True
420,False,False,False,True,False,False,False,False
421,False,False,False,True,False,False,False,True
422,False,True,False,True,True,False,False,True
423,False,False,False,True,False,False,False,True
424,False,False,False,True,False,False,False,False
425,False,False,False,True,False,False,False,False
426,False,False,False,True,False,False,False,True
427,False,True,False,True,False,False,False,True
428,False,False,False,True,False,False,False,True
429,False,True,False,True,False,False,False,True
430,False,True,False,True,False,False,False,True
431,False,True,False,True,False,False,False,True
432,False,True,False,True,False,False,False,False
433,False,True,False,True,False,False,False,True
434,False,True,False,True,False,False,False,True
435,False,True,False,True,False,False,False,True
436,False,True,False,True,False,False,False,True
437,False,True,False,True,False,False,False,True
438,False,True,False,True,False,False,False,False
439,False,False,False,True,False,False,False,False
440,False,False,False,True,False,False,False,False
